title,listed_in,description,new_description,cluster_id,,,
#AnneFrank - Parallel Stories,"Documentaries, International Movies","Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.",through her diary anne frank s story is retold alongside those of five holocaust survivors in this poignant documentary from oscar winner helen mirren,20,,,
AdÃº,"Dramas, International Movies","Near a Spanish town in northern Africa, a child takes a painful journey, a father reconnects with his daughter and a coast guard is guilt stricken.",near a spanish town in northern africa a child takes a painful journey a father reconnects with his daughter and a coast guard is guilt stricken,9,,,
Ali Baba ve 7 CÃ¼celer,"Action & Adventure, Comedies, International Movies","A garden gnome vendor and his brother-in-law attend a trade fair in Sofia, where they accidentally stumble into shenanigans involving a mafia boss.",a garden gnome vendor and his brother in law attend a trade fair in sofia where they accidentally stumble into shenanigans involving a mafia boss,22,,,
David Foster: Off the Record,"Documentaries, Music & Musicals","From child prodigy to iconic music producer, David Foster shares the stories behind his success with rare footage and interviews with his collaborators.",from child prodigy to iconic music producer david foster shares the stories behind his success with rare footage and interviews with his collaborators,20,,,
Double Jeopardy,Thrillers,"After being framed and serving time for her husband's supposed murder, Libby decides to kill her ""late"" husband for good.",after being framed and serving time for her husband s supposed murder libby decides to kill her late husband for good,23,,,
Pek YakÄ±nda,"Comedies, International Movies","An ex-movie extra plans to win his wife back by making a fantasy film, but neither he nor his crew has a knack for filmmaking.",an ex movie extra plans to win his wife back by making a fantasy film but neither he nor his crew has a knack for filmmaking,11,,,
Stardust,"Action & Adventure, International Movies, Romantic Movies","To win his true love's heart, wide-eyed Tristan Thorn journeys to a forbidden realm to retrieve a fallen star that has taken human form.",to win his true love s heart wide eyed tristan thorn journeys to a forbidden realm to retrieve a fallen star that has taken human form,10,,,
The F**k-It List,Comedies,"After a prank blows up a studious high school senior's life, he shares a list of certain things he wishes he'd done differently â€” and maybe still can.",after a prank blows up a studious high school senior s life he shares a list of certain things he wishes he d done differently â€” and maybe still can,24,,,
The Silence of Others,"Documentaries, International Movies","Filmed over six years, this documentary captures the struggles of victims who suffered abuse under Gen. Francisco Franco's regime as they seek justice.",filmed over six years this documentary captures the struggles of victims who suffered abuse under gen francisco franco s regime as they seek justice,3,,,
Total Recall,"Action & Adventure, Sci-Fi & Fantasy","After getting a memory implant, working stiff Douglas Quaid discovers he might actually be a secret agent embroiled in a violent insurrection on Mars.",after getting a memory implant working stiff douglas quaid discovers he might actually be a secret agent embroiled in a violent insurrection on mars,19,,,
Under the Riccione Sun,"Comedies, International Movies, Romantic Movies","While vacationing on the beaches of Riccione, a group of teens become friends and help each other manage romantic relationships and summer crushes.",while vacationing on the beaches of riccione a group of teens become friends and help each other manage romantic relationships and summer crushes,16,,,
George Lopez: We'll Do It For Half,Stand-Up Comedy,"Comedian George Lopez tackles the future and the past of Latinx culture in America, touching on immigration, his tough relatives, aging and much more.",comedian george lopez tackles the future and the past of latinx culture in america touching on immigration his tough relatives aging and much more,17,,,
The Mirror Boy,"Action & Adventure, Dramas, International Movies","A young boy is taken to his mother's birth home in Africa, where a mystical adventure in an ominous forest turns into a journey of self-discovery.",a young boy is taken to his mother s birth home in africa where a mystical adventure in an ominous forest turns into a journey of self discovery,12,,,
#FriendButMarried 2,"Dramas, International Movies, Romantic Movies","As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.",as ayu and ditto finally transition from best friends to newlyweds a quick pregnancy creates uncertainty for the future of their young marriage,8,,,
Skin,"Documentaries, International Movies","On a quest to find beauty in all complexions, actress Beverly Naya travels to her home country of Nigeria and explores colorism's impact on society.",on a quest to find beauty in all complexions actress beverly naya travels to her home country of nigeria and explores colorism s impact on society,3,,,
Thackeray (Marathi),"Dramas, International Movies","This biopic maps the meteoric rise of far-right Shiv Sena party founder, Bal Thackeray, from controversial cartoonist to powerful Mumbai politician.",this biopic maps the meteoric rise of far right shiv sena party founder bal thackeray from controversial cartoonist to powerful mumbai politician,4,,,
Ride Like a Girl,"Children & Family Movies, Dramas, Independent Movies","The daughter of a horse trainer, an ambitious girl sets her sights on becoming the first female jockey to win the Melbourne Cup. Based on a true story.",the daughter of a horse trainer an ambitious girl sets her sights on becoming the first female jockey to win the melbourne cup based on a true story,2,,,
Eurovision Song Contest: The Story of Fire Saga,"Comedies, Music & Musicals, Romantic Movies","Two small-town singers chase their pop star dreams at a global music competition, where high stakes, scheming rivals and onstage mishaps test their bond.",two small town singers chase their pop star dreams at a global music competition where high stakes scheming rivals and onstage mishaps test their bond,2,,,
Kasanova,"Comedies, International Movies, Romantic Movies","After losing his wife, a single father indulges in flimsy flings until he meets his son's music teacher, who imparts a few lessons on love.",after losing his wife a single father indulges in flimsy flings until he meets his son s music teacher who imparts a few lessons on love,8,,,
Ordinary People,"Dramas, Independent Movies, International Movies","Barely making a living as pickpockets, a teenage couple in Manila resort to desperate measures when their one-month-old child is kidnapped.",barely making a living as pickpockets a teenage couple in manila resort to desperate measures when their one month old child is kidnapped,12,,,
Seven (Tamil),"Dramas, International Movies, Romantic Movies","Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection.",multiple women report their husbands as missing but when it appears they are looking for the same man a police officer traces their cryptic connection,19,,,
Seven (Telugu),"Dramas, International Movies, Romantic Movies","Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection.",multiple women report their husbands as missing but when it appears they are looking for the same man a police officer traces their cryptic connection,19,,,
Thackeray (Hindi),"Dramas, International Movies","From controversial cartoonist to powerful Mumbai politician, this biopic maps the meteoric rise of far-right Shiv Sena party founder, Bal Thackeray.",from controversial cartoonist to powerful mumbai politician this biopic maps the meteoric rise of far right shiv sena party founder bal thackeray,4,,,
Krishna and His Leela,"International Movies, Romantic Movies","Torn between his past and present girlfriends, a confused bachelorâ€™s indecisiveness spins a web of lies and cheating as he struggles to commit.",torn between his past and present girlfriends a confused bachelorâ€™s indecisiveness spins a web of lies and cheating as he struggles to commit,24,,,
Prem Ratan Dhan Payo,"Action & Adventure, Dramas, International Movies","While recovering from an assassination attempt four days prior to his coronation, a stern prince is replaced by a joyful and generous doppelgÃ¤nger.",while recovering from an assassination attempt four days prior to his coronation a stern prince is replaced by a joyful and generous doppelgÃ¤nger,7,,,
Vivah,"Dramas, International Movies, Romantic Movies","Set up for an arranged marriage, a young couple enjoys an old-fashioned courtship, until an accident days before their wedding tests their nascent love.",set up for an arranged marriage a young couple enjoys an old fashioned courtship until an accident days before their wedding tests their nascent love,8,,,
Athlete A,"Documentaries, Sports Movies",This documentary focuses on the gymnasts who survived USA Gymnastics doctor Larry Nassar's abuse and the reporters who exposed USAG's toxic culture.,this documentary focuses on the gymnasts who survived usa gymnastics doctor larry nassar s abuse and the reporters who exposed usag s toxic culture,3,,,
Bulbbul,"Horror Movies, International Movies","A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village.",a child bride grows up to be an enigmatic woman presiding over her household harboring a painful past as supernatural murders of men plague her village,21,,,
Nobody Knows I'm Here,"Dramas, Independent Movies, International Movies","A former child singer, traumatized by his experiences, becomes a recluse, nurturing his hurt until a woman comes into his life and really hears him.",a former child singer traumatized by his experiences becomes a recluse nurturing his hurt until a woman comes into his life and really hears him,12,,,
Eric Andre: Legalize Everything,Stand-Up Comedy,"Eric Andre takes the stage in New Orleans and tackles flawed fast-food icons, the wonders of autofill and the bizarre choice for the ""Cops"" theme song.",eric andre takes the stage in new orleans and tackles flawed fast food icons the wonders of autofill and the bizarre choice for the cops theme song,6,,,
Kappela,"Dramas, Independent Movies, International Movies","Falling into an over-the-phone romance with a rickshaw driver, a young woman visits his city when an encounter with a stranger derails their meeting.",falling into an over the phone romance with a rickshaw driver a young woman visits his city when an encounter with a stranger derails their meeting,21,,,
The Royal Hibiscus Hotel,"Comedies, International Movies, Romantic Movies",A disenchanted chef tries to help her parents restore their failing hotel but cooks up feelings for an investor with his sights set on the property.,a disenchanted chef tries to help her parents restore their failing hotel but cooks up feelings for an investor with his sights set on the property,14,,,
Woodshock,"Dramas, Independent Movies, Thrillers","Shattered after her mother's death, a woman floats away from reality under the effect of a potent, hallucinatory drug as her life decays into chaos.",shattered after her mother s death a woman floats away from reality under the effect of a potent hallucinatory drug as her life decays into chaos,9,,,
Elevator Baby,"Dramas, International Movies","A chance encounter brings a brash, wealthy young man and an underprivileged woman together when they get stuck in an elevator and she goes into labor.",a chance encounter brings a brash wealthy young man and an underprivileged woman together when they get stuck in an elevator and she goes into labor,12,,,
Chaman Bahaar,"Comedies, Dramas, International Movies","A local shop becomes a hub for young men taken with the new neighbor. But as business booms, it may leave the equally smitten storeowner heartbroken.",a local shop becomes a hub for young men taken with the new neighbor but as business booms it may leave the equally smitten storeowner heartbroken,14,,,
Destiny,"Dramas, International Movies","In 12th-century Spain, a philosopher and his profound teachings jeopardize the caliph he serves when political rivals threaten a government upheaval.",in 12th century spain a philosopher and his profound teachings jeopardize the caliph he serves when political rivals threaten a government upheaval,4,,,
Disclosure,"Documentaries, LGBTQ Movies","In this documentary, leading trans creatives and thinkers share heartfelt perspectives and analysis about Hollywood's impact on the trans community.",in this documentary leading trans creatives and thinkers share heartfelt perspectives and analysis about hollywood s impact on the trans community,20,,,
Feel the Beat,"Children & Family Movies, Comedies, Dramas","After blowing a Broadway audition, a self-centered dancer reluctantly returns home and agrees to coach a squad of young misfits for a big competition.",after blowing a broadway audition a self centered dancer reluctantly returns home and agrees to coach a squad of young misfits for a big competition,2,,,
Lost Bullet,"Action & Adventure, Dramas, International Movies","Facing a murder charge, a genius mechanic with a criminal past must track down a missing car containing the proof of his innocence: a single bullet.",facing a murder charge a genius mechanic with a criminal past must track down a missing car containing the proof of his innocence a single bullet,22,,,
One-Way to Tomorrow,"Dramas, International Movies, Romantic Movies","Two strangers cross paths on a train en route to Izmir, bonding over their turbulent â€” and unexpectedly intertwined â€” romantic pasts.",two strangers cross paths on a train en route to izmir bonding over their turbulent â€” and unexpectedly intertwined â€” romantic pasts,16,,,
The Emigrant,"Dramas, International Movies",Ram leaves the nomadic life and embarks on a quest for knowledge in a pharaonic Egypt mired in political intrigue. Based on a biblical story.,ram leaves the nomadic life and embarks on a quest for knowledge in a pharaonic egypt mired in political intrigue based on a biblical story,25,,,
Wasp Network,"Dramas, International Movies, Thrillers","Based on a true and gripping story: Cuban spies infiltrate exile groups in the 1990s to stop terrorism against the island, but at a high personal cost.",based on a true and gripping story cuban spies infiltrate exile groups in the 1990s to stop terrorism against the island but at a high personal cost,15,,,
A Whisker Away,"Anime Features, Children & Family Movies, International Movies","A peculiar girl transforms into a cat to catch her crush's attention. But before she realizes it, the line between human and animal starts to blur.",a peculiar girl transforms into a cat to catch her crush s attention but before she realizes it the line between human and animal starts to blur,0,,,
Alexandria ... Why?,"Classic Movies, Dramas, International Movies","Living in Alexandria during World War II, an Egyptian teen enamored with American films dreams of making it in Hollywood.",living in alexandria during world war ii an egyptian teen enamored with american films dreams of making it in hollywood,5,,,
Alexandria: Again and Forever,"Classic Movies, Dramas, International Movies","At the peak of his career, Yehia joins a hunger strike, becomes smitten and reckons with a creative crisis â€” but finds a new muse.",at the peak of his career yehia joins a hunger strike becomes smitten and reckons with a creative crisis â€” but finds a new muse,1,,,
An Egyptian Story,"Classic Movies, Dramas, Independent Movies","While undergoing heart surgery in London, Yehia reflects on his life as his heart chamber becomes a courtroom where he's tried for his mistakes.",while undergoing heart surgery in london yehia reflects on his life as his heart chamber becomes a courtroom where he s tried for his mistakes,12,,,
Cairo Station,"Classic Movies, Dramas, International Movies",A Cairo newsstand vendor's fantasies morph into a dangerous fixation with a lemonade seller as a serial killer begins terrorizing the city.,a cairo newsstand vendor s fantasies morph into a dangerous fixation with a lemonade seller as a serial killer begins terrorizing the city,19,,,
Dark Waters,"Classic Movies, Dramas, International Movies","A fisherman returns home after a three-year absence only to find the woman he loves drifting away, the sailors feuding and his community unraveling.",a fisherman returns home after a three year absence only to find the woman he loves drifting away the sailors feuding and his community unraveling,12,,,
El lÃ­mite infinito,"Documentaries, International Movies, Sports Movies","From early struggles to his climb up the Himalayas, Jean Maggi gets profiled in this documentary that highlights his advancement of adaptive sports.",from early struggles to his climb up the himalayas jean maggi gets profiled in this documentary that highlights his advancement of adaptive sports,20,,,
Lola Igna,"Comedies, International Movies",An elderly woman finds her life disrupted when her family and village realize she has a chance at a world record for being the oldest grandmother alive.,an elderly woman finds her life disrupted when her family and village realize she has a chance at a world record for being the oldest grandmother alive,14,,,
One Take,"Documentaries, International Movies, Music & Musicals",Members of Thai girl group BNK48 share the ups and downs of preparing for the 6th Single Senbatsu General Election.,members of thai girl group bnk48 share the ups and downs of preparing for the 6th single senbatsu general election,5,,,
Saladin,"Action & Adventure, Classic Movies, Dramas",The Sultan of Egypt and Syria launches a campaign to retake Jerusalem amid the Crusades.,the sultan of egypt and syria launches a campaign to retake jerusalem amid the crusades,13,,,
Stray Bullet,"Dramas, International Movies, Romantic Movies","In 1976 Beirut, after a rendezvous with her old flame, soon-to-wed Noha witnesses a violent incident and changes course on a path to self-realization.",in 1976 beirut after a rendezvous with her old flame soon to wed noha witnesses a violent incident and changes course on a path to self realization,11,,,
The Blazing Sun,"Classic Movies, Dramas, International Movies",Competition between sugar cane producers turns deadly after a greedy landlord conspires against an agricultural engineer who falls for his daughter.,competition between sugar cane producers turns deadly after a greedy landlord conspires against an agricultural engineer who falls for his daughter,2,,,
The Land,"Classic Movies, Dramas, International Movies",A group of peasant farmers fights to protect their village against a corrupt landowner. Adapted from the popular novel by Abdel Rahman al-Sharqawi.,a group of peasant farmers fights to protect their village against a corrupt landowner adapted from the popular novel by abdel rahman al sharqawi,4,,,
The Nut Job,"Children & Family Movies, Comedies","When his grouchy attitude gets him kicked out of the park, Surly the squirrel hatches a plan to rob Maury's Nut Shop to stock up for winter.",when his grouchy attitude gets him kicked out of the park surly the squirrel hatches a plan to rob maury s nut shop to stock up for winter,5,,,
An Evening with Beverly Luff Linn,"Comedies, Independent Movies","When an unhappily married woman discovers a man from her past has a role in a local theater production, she'll do anything to reconnect with him.",when an unhappily married woman discovers a man from her past has a role in a local theater production she ll do anything to reconnect with him,8,,,
Riding Faith,"Children & Family Movies, Dramas, Faith & Spirituality","Following her father's death, a young woman struggles to help her mother keep the family ranch afloat while preserving a special bond with her horse.",following her father s death a young woman struggles to help her mother keep the family ranch afloat while preserving a special bond with her horse,23,,,
Last Flight to Abuja,"Dramas, International Movies","When disaster strikes mid-flight, a commercial plane's frantic passengers confront their pasts and the possibility of death. Based on true events.",when disaster strikes mid flight a commercial plane s frantic passengers confront their pasts and the possibility of death based on true events,9,,,
The Darkness,"Horror Movies, Thrillers","After bringing home a set of mysterious stones from the Grand Canyon, a boy unleashes an ancient force that begins to terrorize his family.",after bringing home a set of mysterious stones from the grand canyon a boy unleashes an ancient force that begins to terrorize his family,7,,,
The Show Must Go On: The Queen + Adam Lambert Story,"Documentaries, Music & Musicals","With rare footage and candid interviews, this documentary details the serendipitous pairing of legendary rock band Queen and powerhouse Adam Lambert.",with rare footage and candid interviews this documentary details the serendipitous pairing of legendary rock band queen and powerhouse adam lambert,20,,,
Underdogs,"Children & Family Movies, Sports Movies","When his archenemy returns to settle a score, a foosball ace and his magically incarnated team must save the town and woo back his girl.",when his archenemy returns to settle a score a foosball ace and his magically incarnated team must save the town and woo back his girl,7,,,
Wira,"Action & Adventure, Dramas, International Movies","After a long stint in the army, an ex-lieutenant returns home and enters an underground MMA match to take on a local mobster and protect his family.",after a long stint in the army an ex lieutenant returns home and enters an underground mma match to take on a local mobster and protect his family,13,,,
4th Republic,"Dramas, International Movies, Thrillers","After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory.",after the election night murder of her campaign manager at a polling site a gubernatorial candidate challenges the corrupt incumbent s victory,15,,,
Asura Guru,"Dramas, International Movies","For a tech-savvy thief, elaborate robberies and evading the police are second nature until a private detective is hired to investigate his latest heist.",for a tech savvy thief elaborate robberies and evading the police are second nature until a private detective is hired to investigate his latest heist,15,,,
Milea,"Dramas, International Movies, Romantic Movies","Years after his teen romance with Milea, a now-adult Dilan tells his version of their love story when a high school reunion brings them back together.",years after his teen romance with milea a now adult dilan tells his version of their love story when a high school reunion brings them back together,8,,,
Axone,"Comedies, Dramas, Independent Movies","In Delhi, friends from Northeast India prepare a pungent delicacy for a wedding party, sparking conflict and comedy with their unaccustomed neighbors.",in delhi friends from northeast india prepare a pungent delicacy for a wedding party sparking conflict and comedy with their unaccustomed neighbors,14,,,
Da 5 Bloods,"Action & Adventure, Dramas",Four African American veterans return to Vietnam decades after the war to find their squad leader's remains â€” and a stash of buried gold. From Spike Lee.,four african american veterans return to vietnam decades after the war to find their squad leader s remains â€” and a stash of buried gold from spike lee,13,,,
Jo Koy: In His Elements,Stand-Up Comedy,"Jo Koy brings the laughs and beats to Manila, spotlighting local culture in a one-of-a-kind show featuring Filipino American comedians, DJs and B-boys.",jo koy brings the laughs and beats to manila spotlighting local culture in a one of a kind show featuring filipino american comedians djs and b boys,17,,,
Okko's Inn,"Anime Features, Children & Family Movies","After losing her parents, a young girl learns about grief and healing from a friendly ghost who lives in her grandmother's traditional Japanese inn.",after losing her parents a young girl learns about grief and healing from a friendly ghost who lives in her grandmother s traditional japanese inn,9,,,
From A to B,"Comedies, Dramas, International Movies","To celebrate the memory of their pal who passed away, three estranged friends attempt to reconnect on an eventful road trip from Abu Dhabi to Beirut.",to celebrate the memory of their pal who passed away three estranged friends attempt to reconnect on an eventful road trip from abu dhabi to beirut,8,,,
Menahi,"Comedies, International Movies","A stranger to civilian life, a young Saudi farmer travels to Dubai, where he experiences a series of hilarious misadventures.",a stranger to civilian life a young saudi farmer travels to dubai where he experiences a series of hilarious misadventures,9,,,
Middle Men,"Comedies, Dramas, Independent Movies","An entrepreneur develops an adult entertainment online billing company â€“ and winds up dealing with mobsters, the FBI, con men and terrorists.",an entrepreneur develops an adult entertainment online billing company â€“ and winds up dealing with mobsters the fbi con men and terrorists,5,,,
The Witch: Part 1 - The Subversion,"Action & Adventure, International Movies, Sci-Fi & Fantasy",The life of a seemingly ordinary high school student with a mysterious past is turned upside down when a group of strangers show up and wreak havoc.,the life of a seemingly ordinary high school student with a mysterious past is turned upside down when a group of strangers show up and wreak havoc,21,,,
Before I Fall,"Dramas, Romantic Movies","Forced to continually relive the day she dies in a car crash, a privileged high schooler must unravel the cosmic mystery of her suddenly looping life.",forced to continually relive the day she dies in a car crash a privileged high schooler must unravel the cosmic mystery of her suddenly looping life,11,,,
365 Days,"Dramas, International Movies, Romantic Movies","A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.",a fiery executive in a spiritless relationship falls victim to a dominant mafia boss who imprisons her and gives her one year to fall in love with him,14,,,
Forensic,"International Movies, Thrillers","A pair of officers with history navigates clues from the past, false leads and a ticking clock to nab an elusive serial killer who targets young girls.",a pair of officers with history navigates clues from the past false leads and a ticking clock to nab an elusive serial killer who targets young girls,19,,,
Project Papa,"Dramas, Independent Movies, International Movies","When a busy entrepreneur pauses her career to spend time with her aging father, both learn valuable lessons on happiness, love and living in the moment.",when a busy entrepreneur pauses her career to spend time with her aging father both learn valuable lessons on happiness love and living in the moment,16,,,
The Night Clerk,"Dramas, Independent Movies","After a charming guest checks in, a voyeuristic hotel clerk on the autism spectrum becomes a suspect in a murder that takes place during his shift.",after a charming guest checks in a voyeuristic hotel clerk on the autism spectrum becomes a suspect in a murder that takes place during his shift,21,,,
Before the Summer Crowds,"Dramas, International Movies","Ahead of summer break, a couple heads to a seaside resort where intimate interactions with other villagers make for anything but a peaceful holiday.",ahead of summer break a couple heads to a seaside resort where intimate interactions with other villagers make for anything but a peaceful holiday,18,,,
Big Stone Gap,"Comedies, Romantic Movies",A single middle-aged woman who has lived her whole life in a small Virginia mining town uncovers a family secret that alters her profoundly.,a single middle aged woman who has lived her whole life in a small virginia mining town uncovers a family secret that alters her profoundly,11,,,
Choked: Paisa Bolta Hai,"Dramas, International Movies",A bank employee weighed down by her jobless husband's debts â€” and her own broken dreams â€” finds a secret source of seemingly unlimited cash in her home.,a bank employee weighed down by her jobless husband s debts â€” and her own broken dreams â€” finds a secret source of seemingly unlimited cash in her home,23,,,
Merry Men 2: Another Mission,"Comedies, International Movies","To save a kidnapped loved one, a pack of wealthy men must return to their vigilante past when they are blackmailed to pull off a treacherous heist.",to save a kidnapped loved one a pack of wealthy men must return to their vigilante past when they are blackmailed to pull off a treacherous heist,22,,,
The Last Days of American Crime,"Action & Adventure, Dramas, Independent Movies","A bank robber joins a plot to commit one final, historic heist before the government turns on a mind-altering signal that will end all criminal behavior.",a bank robber joins a plot to commit one final historic heist before the government turns on a mind altering signal that will end all criminal behavior,22,,,
The Light of My Eyes,"Dramas, International Movies, Romantic Movies",A composer hides his love for his formerly blind ex when she returns to Egypt engaged to his childhood friend â€” the doctor who restored her sight.,a composer hides his love for his formerly blind ex when she returns to egypt engaged to his childhood friend â€” the doctor who restored her sight,12,,,
Hot Sweet Sour,"Dramas, International Movies, Romantic Movies","In love since childhood, a couple separates to pursue different paths but makes a pact to marry each other in five years if they are still single.",in love since childhood a couple separates to pursue different paths but makes a pact to marry each other in five years if they are still single,16,,,
Overnight Republic,"Comedies, International Movies","A mayoral candidate wins office, promising to turn a small province into its own country as a war and wacky events with his wife and advisors ensue.",a mayoral candidate wins office promising to turn a small province into its own country as a war and wacky events with his wife and advisors ensue,12,,,
Canâ€™t Complain,"Comedies, International Movies, Romantic Movies","Raised by a father to fraudulently act as one person, three identical brothers end up pining for the same woman as one triplet seeks psychiatric help.",raised by a father to fraudulently act as one person three identical brothers end up pining for the same woman as one triplet seeks psychiatric help,23,,,
Lady Bird,"Comedies, Dramas, Independent Movies","An intrepid high schooler in Sacramento undergoes the trials of love, family and self-discovery as she dreams of escaping to college on the East Coast.",an intrepid high schooler in sacramento undergoes the trials of love family and self discovery as she dreams of escaping to college on the east coast,5,,,
Spelling the Dream,"Children & Family Movies, Documentaries","Following four hopeful competitors, this documentary explores Indian Americans' decades-long success at the biggest spelling contest in the U.S.",following four hopeful competitors this documentary explores indian americans decades long success at the biggest spelling contest in the u s,20,,,
Andaleeb El Dokki,"Comedies, International Movies","Aiming for fame, a struggling singer finds his long-lost millionaire twin and falls for his brother's secretary as a plot brews to steal the fortune.",aiming for fame a struggling singer finds his long lost millionaire twin and falls for his brother s secretary as a plot brews to steal the fortune,14,,,
Let's Dance,"Comedies, Dramas, International Movies","Disillusioned with her humdrum routine, a married lawyer secretly enrolls in a dance school in this remake of the 1996 Japanese film â€œShall We Dance?â€",disillusioned with her humdrum routine a married lawyer secretly enrolls in a dance school in this remake of the 1996 japanese film â€œshall we dance â€,24,,,
Life's Speed Bump,"Comedies, International Movies","Seeking job opportunities, a young man arrives in Cairo and becomes increasingly involved with the family of a wealthy businessman.",seeking job opportunities a young man arrives in cairo and becomes increasingly involved with the family of a wealthy businessman,14,,,
Mr. Romantic,"Comedies, International Movies, Romantic Movies","When a carefree man is left with his uncle's fortune, he can only receive the riches on one condition: he must settle down with a good woman.",when a carefree man is left with his uncle s fortune he can only receive the riches on one condition he must settle down with a good woman,11,,,
My Horrible Grandma,"Comedies, Dramas, International Movies","As a man fumbles to keep things in order, his assertive grandmother tries to straighten out his life when she returns to live with him.",as a man fumbles to keep things in order his assertive grandmother tries to straighten out his life when she returns to live with him,12,,,
Sorry To Disturb,"Dramas, International Movies","After losing his father, a genius yet troubled aviation engineer suffering from loneliness tackles a complex project: love.",after losing his father a genius yet troubled aviation engineer suffering from loneliness tackles a complex project love,1,,,
The Student Cop,"Action & Adventure, Comedies, International Movies","Sent undercover to investigate suspicious activity among a group of college students, a police officer gets more invested in his role than expected.",sent undercover to investigate suspicious activity among a group of college students a police officer gets more invested in his role than expected,19,,,
True: Rainbow Rescue,Children & Family Movies,True and Bartleby travel to the other side of the Neverending Rainbow to bring back Dillydally â€” a brave explorer who's the Rainbow King's best friend!,true and bartleby travel to the other side of the neverending rainbow to bring back dillydally â€” a brave explorer who s the rainbow king s best friend,18,,,
What's Up?,"Comedies, Dramas, International Movies","Flirting with modernity, a young woman must keep her new romance a secret from her conservative brother, who plans to keep her in line with tradition.",flirting with modernity a young woman must keep her new romance a secret from her conservative brother who plans to keep her in line with tradition,14,,,
X Large,"Comedies, International Movies, Romantic Movies","After he is rejected by the woman he loves and obesity-related issues kill his uncle, a lonely, overweight artist undergoes a major transformation.",after he is rejected by the woman he loves and obesity related issues kill his uncle a lonely overweight artist undergoes a major transformation,1,,,
122,"Horror Movies, International Movies","After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape â€” before death finds them.",after an awful accident a couple admitted to a grisly hospital are separated and must find each other to escape â€” before death finds them,9,,,
Chippa,"Comedies, Dramas, Independent Movies","At midnight on his 10th birthday, a boy scours the lesser-known Kolkata streets in search of a father heâ€™s never met, carrying a letter he canâ€™t read.",at midnight on his 10th birthday a boy scours the lesser known kolkata streets in search of a father heâ€™s never met carrying a letter he canâ€™t read,12,,,
Cook Off,"Comedies, International Movies, Romantic Movies","Yearning for a better life, a single mother with a passion for cooking gets a shot at greatness when her son enters her into a top reality cooking show.",yearning for a better life a single mother with a passion for cooking gets a shot at greatness when her son enters her into a top reality cooking show,8,,,
Kalek Shanab,"Comedies, International Movies","After a wild night of partying on the town, three buddies wake up to discover they've caused a whole mess of trouble â€” but can't remember how.",after a wild night of partying on the town three buddies wake up to discover they ve caused a whole mess of trouble â€” but can t remember how,11,,,
Mirai,"Action & Adventure, Anime Features, Children & Family Movies","Unhappy after his new baby sister displaces him, four-year-old Kun begins meeting people and pets from his family's history in their unique house.",unhappy after his new baby sister displaces him four year old kun begins meeting people and pets from his family s history in their unique house,9,,,
The Disaster Artist,"Comedies, Dramas","Aspiring actor Greg moves to Los Angeles with his strange friend Tommy, then agrees to star in his movie. Things start weird and get a lot weirder.",aspiring actor greg moves to los angeles with his strange friend tommy then agrees to star in his movie things start weird and get a lot weirder,18,,,
The Stolen,Dramas,A well-to-do British woman must venture into New Zealand's wild and dangerous unknown when her baby son is kidnapped and held for ransom.,a well to do british woman must venture into new zealand s wild and dangerous unknown when her baby son is kidnapped and held for ransom,7,,,
High Strung Free Dance,"Dramas, Music & Musicals, Romantic Movies",A choreographer casts a contemporary dancer and a gifted pianist for a highly anticipated Broadway show as internal drama tries to steal the spotlight.,a choreographer casts a contemporary dancer and a gifted pianist for a highly anticipated broadway show as internal drama tries to steal the spotlight,2,,,
Freej Al Taibeen,"Comedies, Dramas, International Movies","Local rivals gear up to compete in a traditional game that tests their physical strength and endurance, but complications disrupt their training.",local rivals gear up to compete in a traditional game that tests their physical strength and endurance but complications disrupt their training,16,,,
Kenny Sebastian: The Most Interesting Person in the Room,Stand-Up Comedy,"Fusing his musical and stand-up chops, Kenny Sebastian gets analytical about frumpy footwear, flightless birds and his fear of not being funny enough.",fusing his musical and stand up chops kenny sebastian gets analytical about frumpy footwear flightless birds and his fear of not being funny enough,6,,,
The Other,"Dramas, International Movies, Romantic Movies","When a graduate student elopes with a plucky reporter, his wealthy, possessive mother connives with his militant brother-in-law to wreck the union.",when a graduate student elopes with a plucky reporter his wealthy possessive mother connives with his militant brother in law to wreck the union,14,,,
Grandmother's Farm,"Comedies, Horror Movies, International Movies",A guys' getaway to an isolated farm in the desert goes from fun to frightening when a mysterious guest crashes the party.,a guys getaway to an isolated farm in the desert goes from fun to frightening when a mysterious guest crashes the party,21,,,
